Date,CE16OV,EXUSEU,IPMAN,M1SL,M1V,UNRATE,Market Value,Estimate,Sigma,Recommended Percent Stock
2009-12-03,138040.4193548387,1.4558806451612902,90.2450935483871,1693.1258064516128,8.682967741935483,9.893548387096775,43.350811,41.655556804259106,-0.48144264435202877,0.45476448707866024
2009-12-10,138136.38709677418,1.4488129032258064,90.50057096774194,1689.716129032258,8.679354838709676,9.870967741935484,43.473267,41.25641218220741,-0.6295742834933084,0.2749858709549531
2009-12-17,138232.35483870967,1.4417451612903227,90.75604838709677,1686.3064516129032,8.67574193548387,9.848387096774195,43.309986,40.85726756015575,-0.6965582238323406,0.19369142119072047
2009-12-24,138328.32258064515,1.4346774193548388,91.01152580645162,1682.8967741935483,8.672129032258065,9.825806451612904,43.701859,40.458122938104005,-0.9212027736859427,-0.0789463928950036
2009-12-31,138424.29032258064,1.427609677419355,91.26700322580645,1679.4870967741936,8.668516129032257,9.803225806451614,43.570789,40.05897831605227,-0.9973344566208742,-0.17134291723344752
2010-01-07,138465.67741935485,1.4152580645161292,91.30806774193549,1683.5483870967741,8.668,9.8,45.083145,40.21436607362442,-1.382705795372035,-0.6390453363523454
2010-01-14,138497.96774193548,1.402025806451613,91.31339677419355,1688.8548387096773,8.668,9.8,44.73793,40.462175894467194,-1.2142900860169215,-0.4346491429606165
2010-01-21,138530.25806451612,1.3887935483870968,91.31872580645161,1694.1612903225807,8.668,9.8,43.143379,40.70998571531004,-0.6910699886028568,0.20035216794433552
2010-01-28,138562.5483870968,1.3755612903225807,91.32405483870969,1699.467741935484,8.668,9.8,42.666653,40.95779553615276,-0.485305895884101,0.4500758870051045
2010-02-04,138599.2142857143,1.3668214285714286,91.45082857142857,1703.6785714285713,8.668,9.810714285714287,42.198154,41.14563339314631,-0.2989099248193762,0.6762936614340422
2010-02-11,138641.7142857143,1.3640714285714286,91.73952857142856,1706.4285714285713,8.668,9.835714285714285,42.477612,41.25350863167413,-0.3476384627672131,0.6171547146919588
2010-02-18,138684.2142857143,1.3613214285714286,92.02822857142857,1709.1785714285713,8.668,9.860714285714286,43.825584,41.36138387020199,-0.6998189591172633,0.18973405947874977
2010-02-25,138726.7142857143,1.3585714285714285,92.31692857142856,1711.9285714285713,8.668,9.885714285714286,43.776276,41.469259108729766,-0.6551798045912053,0.2439099632367112
