Date,IPMAN,M1SL,M2MSL,M2SL,M3SL,UNRATE,WTB3MS,Market Value,Estimate,Sigma,Recommended Percent Stock
2014-03-06,102.1529258064516,2759.425806451613,10645.119354838711,11198.193548387097,10298.7,6.635483870967742,0.04967741935483871,77.109,75.76540882064869,-0.34635551558115335,0.7407920665033881
2014-03-13,102.12384193548387,2764.641935483871,10659.006451612904,11211.064516129032,10298.7,6.54516129032258,0.0457258064516129,76.1148,76.04065879496892,-0.019112372639084118,0.9559626420178668
2014-03-20,102.09475806451613,2769.858064516129,10672.893548387097,11223.935483870968,10298.7,6.45483870967742,0.0417741935483871,77.3777,76.3159087692891,-0.27371216394110265,0.7885568924953491
2014-03-27,102.06567419354839,2775.074193548387,10686.78064516129,11236.806451612903,10298.7,6.364516129032258,0.037822580645161294,77.1977,76.59115874360927,-0.15635627325261103,0.8657213345442607
2014-04-03,102.06132,2779.9133333333334,10701.426666666668,11250.553333333333,10298.7,6.3,0.034800000000000005,78.8818,76.83329565625776,-0.5280704347059129,0.6213099487846887
2014-04-10,102.11879,2783.81,10717.970000000001,11266.49,10298.7,6.3,0.034100000000000005,77.1527,76.99264991472724,-0.04125825671929278,0.9414011676964356
2014-04-17,102.17626,2787.706666666667,10734.513333333334,11282.426666666666,10298.7,6.3,0.0334,78.4945,77.15200417319672,-0.3460731518663991,0.74097772772905
2014-04-24,102.23373000000001,2791.6033333333335,10751.056666666667,11298.363333333333,10298.7,6.3,0.0327,78.8728,77.31135843166616,-0.40251373167782883,0.7038666306676638
2014-05-01,102.2912,2795.5,10767.6,11314.3,10298.7,6.3,0.032,79.0799,77.47071269013558,-0.4148217917326823,0.6957737724288025
2014-05-08,102.37246774193548,2803.245161290323,10780.290322580646,11326.380645161289,10298.7,6.254838709677419,0.03267741935483871,78.8998,77.84668925673112,-0.27147447828962834,0.7900282269444668
2014-05-15,102.45373548387097,2810.990322580645,10792.98064516129,11338.46129032258,10298.7,6.209677419354838,0.03335483870967742,78.6296,78.22266582332666,-0.10490087962421157,0.8995545466348399
2014-05-22,102.53500322580645,2818.735483870968,10805.670967741935,11350.54193548387,10298.7,6.164516129032258,0.03403225806451613,79.1069,78.59864238992216,-0.13102037977917136,0.8823803200644512
2014-05-29,102.61627096774194,2826.4806451612903,10818.36129032258,11362.62258064516,10298.7,6.119354838709677,0.034709677419354844,79.9625,78.97461895651767,-0.2546593438588713,0.8010845996473162
2014-06-05,102.70272666666666,2831.0133333333333,10832.213333333333,11375.973333333333,10298.7,6.113333333333333,0.03366666666666667,80.8495,79.19107992171271,-0.42751318265028854,0.6874288645316675
2014-06-12,102.79307333333334,2833.1366666666668,10846.936666666666,11390.276666666667,10298.7,6.136666666666667,0.03133333333333334,80.5659,79.28790418585744,-0.32944611867101603,0.7519104191510434
2014-06-19,102.88342,2835.26,10861.66,11404.58,10298.7,6.16,0.029,82.0248,79.38472845000216,-0.6805666462562786,0.5210398642595606
2014-06-26,102.97376666666668,2837.383333333333,10876.383333333333,11418.883333333333,10298.7,6.183333333333334,0.02666666666666667,81.7733,79.48155271414684,-0.5907744297313802,0.5800804990997025
2014-07-03,103.00995806451614,2836.532258064516,10888.945161290323,11430.977419354838,10298.7,6.2,0.02545161290322581,82.5879,79.4551297626826,-0.8075761938741142,0.43752790061361435
2014-07-10,102.91076129032258,2828.245161290323,10896.103225806452,11437.548387096775,10298.7,6.2,0.027032258064516132,81.9634,79.12058877219599,-0.7328295717015123,0.48667567974214204
2014-07-17,102.81156451612904,2819.958064516129,10903.26129032258,11444.119354838711,10298.7,6.2,0.028612903225806452,81.8819,78.78604778170943,-0.7980593410465708,0.44378547008192737
2014-07-24,102.7123677419355,2811.6709677419353,10910.41935483871,11450.690322580645,10298.7,6.2,0.030193548387096775,82.8867,78.45150679122276,-1.1433192284499347,0.2167684331266344
2014-07-31,102.61317096774194,2803.3838709677416,10917.577419354839,11457.261290322582,10298.7,6.2,0.0317741935483871,80.5423,78.11696580073615,-0.6252109197741252,0.5574376430429515
2014-08-07,102.60240645161291,2813.6387096774192,10926.090322580645,11464.800000000001,10298.7,6.141935483870968,0.02967741935483871,79.619,78.49303668783205,-0.29025466191262217,0.7776797851036472
2014-08-14,102.6063806451613,2826.983870967742,10934.829032258065,11472.5,10298.7,6.074193548387097,0.02696774193548387,81.4565,78.9875428878583,-0.6364561830008899,0.5500436003792581
2014-08-21,102.61035483870968,2840.3290322580647,10943.567741935483,11480.199999999999,10298.7,6.006451612903226,0.02425806451612903,82.9048,79.48204908788459,-0.8823284009976561,0.3883764492397427
2014-08-28,102.61432903225807,2853.6741935483874,10952.306451612903,11487.9,10298.7,5.9387096774193555,0.021548387096774195,83.1492,79.97655528791086,-0.8178551719444824,0.4307692146799158
2014-09-04,102.60796,2861.8700000000003,10963.539999999999,11498.189999999999,10298.7,5.880000000000001,0.0198,83.3211,80.30091486341831,-0.7785536227145587,0.4566109691942658
2014-09-11,102.5878,2863.2000000000003,10978.1,11511.933333333332,10298.7,5.833333333333334,0.019333333333333334,83.1129,80.39841227290061,-0.699749902133283,0.5084263923004941
2014-09-18,102.56764,2864.53,10992.66,11525.676666666666,10298.7,5.786666666666667,0.018866666666666667,83.7647,80.49590968238294,-0.8426399139740957,0.414472625059904
2014-09-25,102.54748,2865.86,11007.220000000001,11539.42,10298.7,5.74,0.0184,81.918,80.59340709186523,-0.3414580764467811,0.7440122555885313
2014-10-02,102.55906129032257,2867.5967741935483,11021.19677419355,11552.529032258066,10298.7,5.703225806451613,0.01814516129032258,80.9805,80.71284709137879,-0.06899647942542611,0.9231625904423231
2014-10-09,102.76109032258064,2871.7741935483873,11031.674193548388,11561.832258064516,10298.7,5.725806451612903,0.019161290322580644,80.1795,80.96394263107948,0.20221629622676085,1.1014917939186846
2014-10-16,102.96311935483871,2875.951612903226,11042.151612903226,11571.135483870969,10298.7,5.748387096774193,0.02017741935483871,78.6686,81.2150381707802,0.6564295144911033,1.4001483790545983
2014-10-23,103.16514838709676,2880.1290322580644,11052.629032258064,11580.438709677419,10298.7,5.7709677419354835,0.021193548387096774,80.853,81.46613371048089,0.15805569854687912,1.0724550931572399
2014-10-30,103.36717741935483,2884.3064516129034,11063.106451612904,11589.741935483871,10298.7,5.793548387096774,0.02220967741935484,84.4301,81.71722925018159,-0.6993330722162353,0.5087004684273044
2014-11-06,103.37434999999999,2894.6,11079.883333333333,11605.5,10298.7,5.766666666666667,0.02375,84.2208,82.05761985819652,-0.5576319529508883,0.6018725089756622
2014-11-13,103.30358,2907.34,11099.18,11623.84,10298.7,5.72,0.0255,84.4301,82.43372849353707,-0.5146314541498603,0.6301464156226986
