DATE,TOTALSL
2007-06-01,2519.1210
2007-07-01,2533.6677
2007-08-01,2552.7671
2007-09-01,2566.9954
2007-10-01,2582.3260
2007-11-01,2597.6493
2007-12-01,2609.4765
2008-01-01,2619.4277
2008-02-01,2634.4964
2008-03-01,2645.6036
2008-04-01,2654.2432
2008-05-01,2660.1932
2008-06-01,2662.4095
2008-07-01,2665.3213
2008-08-01,2662.2378
2008-09-01,2657.3891
2008-10-01,2660.7295
2008-11-01,2651.4814
2008-12-01,2643.7890
2009-01-01,2647.7044
2009-02-01,2637.7012
2009-03-01,2621.6779
2009-04-01,2613.1648
2009-05-01,2609.0877
2009-06-01,2590.4588
2009-07-01,2587.4979
2009-08-01,2579.0254
2009-09-01,2573.2846
2009-10-01,2559.6148
2009-11-01,2549.9435
2009-12-01,2555.0166
2010-01-01,2540.6108
2010-02-01,2530.029
2010-03-01,2536.7453
2010-04-01,2530.5443
2010-05-01,2524.0097
2010-06-01,2520.001
2010-07-01,2518.217
2010-08-01,2518.5194
2010-09-01,2519.3354
2010-10-01,2528.6856
2010-11-01,2528.7316
2010-12-01,2646.8113
2011-01-01,2655.0447
2011-02-01,2664.4405
2011-03-01,2672.7801
2011-04-01,2678.5955
2011-05-01,2686.1632
2011-06-01,2694.7259
2011-07-01,2716.6242
2011-08-01,2708.5578
2011-09-01,2719.132
2011-10-01,2727.6231
2011-11-01,2745.7854
2011-12-01,2757.0729
2012-01-01,2767.91
2012-02-01,2777.2123
2012-03-01,2791.0794
2012-04-01,2803.9679
2012-05-01,2823.8207
2012-06-01,2835.8871
2012-07-01,2844.2583
2012-08-01,2861.6847
2012-09-01,2871.4055
2012-10-01,2888.9271
2012-11-01,2906.5271
2012-12-01,2918.2581
2013-01-01,2934.2929
2013-02-01,2955.3084
2013-03-01,2965.7467
2013-04-01,2975.7034
2013-05-01,2990.8112
2013-06-01,3001.7932
2013-07-01,3016.1199
2013-08-01,3032.0378
2013-09-01,3049.3748
2013-10-01,3066.4321
2013-11-01,3078.6763
2013-12-01,3093.3858
2014-01-01,3112.1055
2014-02-01,3129.8618
2014-03-01,3148.098
2014-04-01,3171.6447
2014-05-01,3190.2792
2014-06-01,3206.134
2014-07-01,3227.9403
2014-08-01,3245.4488
2014-09-01,3261.9703
2014-10-01,3272.609
2014-11-01,3287.7127
2014-12-01,3314.5671
2015-01-01,3328.9641
2015-02-01,3347.0264
2015-03-01,3369.274
2015-04-01,3390.0382
2015-05-01,3407.6794
2015-06-01,3432.6777
2015-07-01,3450.8469
2015-08-01,3466.9451
2015-09-01,3493.8336
2015-10-01,3508.5345
2015-11-01,3527.0241
2015-12-01,3413.6115
2016-01-01,3431.4958
2016-02-01,3446.6262
2016-03-01,3471.2095
2016-04-01,3491.0868
2016-05-01,3510.7954
2016-06-01,3525.7103
2016-07-01,3542.913
2016-08-01,3570.6422
2016-09-01,3588.5699
2016-10-01,3607.4499
2016-11-01,3632.2786
2016-12-01,3643.6549
2017-01-01,3659.7539
2017-02-01,3677.4299
2017-03-01,3690.1093
2017-04-01,3702.6285
2017-05-01,3720.1613
2017-06-01,3731.2555
2017-07-01,3746.0035
2017-08-01,3759.3615
2017-09-01,3767.6359
2017-10-01,3787.5632
2017-11-01,3817.8212
2017-12-01,3830.9576
2018-01-01,3842.9219
2018-02-01,3854.1167
2018-03-01,3862.9012
2018-04-01,3873.1741
2018-05-01,3897.7335
